height_m,period_s,omega,amp_m,settle_ratio,settled,converged_early,duration_used_s,duration_cap_s,n_steps,rao_platform_heave,rao_buoy1_heave,rao_buoy2_heave,rao_buoy3_heave,rao_buoy4_heave,rao_buoy5_heave,rao_buoy6_heave,rao_buoy7_heave,rao_buoy8_heave,rao_buoy9_heave,rao_buoy10_heave,rao_buoy11_heave,rao_buoy12_heave
0.05,3.0,2.0943951023931953,0.025,0.0033030478651995938,True,True,72.0,506.0,7200,1.1899655101204798,1.3182352797746335,1.2424581544483984,1.2424581544319129,1.26500804984784,1.189281924287341,1.1727663959516048,1.3673956812468764,1.288504579643296,1.2885045795795265,1.2650080497598029,1.172766395966966,1.1892819241549275
0.15,3.0,2.0943951023931953,0.075,0.001756507945124307,True,True,72.0,506.0,7200,0.7060958460232531,0.7701084782160699,0.74608314612756,0.7460831461105857,0.7370247129891807,0.7119599369973748,0.7037532187752598,0.7998015919536812,0.7706420901961182,0.770642090035168,0.7370247126436562,0.7037532185909967,0.7119599364915012
0.3,3.0,2.0943951023931953,0.15,0.00028960795762857073,True,True,72.0,506.0,7200,0.49894072668394945,0.5354894119021063,0.5285422361725921,0.5285422361471407,0.5159317861413615,0.507677092574018,0.5020126552019037,0.566768080375863,0.5519498278211653,0.5519498276401131,0.5159317856414498,0.5020126550595493,0.5076770921405707
0.6,3.0,2.0943951023931953,0.3,5.912164007527913e-06,True,True,72.0,506.0,7200,0.3388098398041542,0.34741771871500754,0.35677047410971796,0.356770473976381,0.34219941592276426,0.35199387101324175,0.3478185708336001,0.3971213295907261,0.3942786868710844,0.394278686705331,0.34219941518220337,0.34781857074398154,0.35199387073044996
1.0,3.0,2.0943951023931953,0.5,1.0610549524691643e-06,True,True,72.0,506.0,7200,0.24456460685123027,0.23844171130227232,0.24953610383261787,0.24953610366416218,0.2330660543854715,0.261506783984752,0.25822783131472854,0.3019068351401118,0.30646550022217217,0.30646550015316376,0.2330660536739362,0.2582278312275609,0.2615067839146157
0.05,3.141,2.0003773661826125,0.025,0.0032612991711942164,True,True,75.4,507.692,7540,1.3934951158349806,1.4697255289748195,1.4106615325727068,1.4106615323682488,1.464642459906485,1.3821768946238946,1.3821645546399024,1.5955001952996684,1.5061552054381506,1.506155204673197,1.4646424579910873,1.3821645531504902,1.3821768918646138
0.15,3.141,2.0003773661826125,0.075,0.00018811999141367933,True,True,75.4,507.692,7540,0.807570946176423,0.8498894870008582,0.8324921221193703,0.8324921220534586,0.8356066349849022,0.8126583829797106,0.8080706437629747,0.9111323787526012,0.8824280370660489,0.8824280366500881,0.8356066340649343,0.8080706434079628,0.8126583819615967
0.3,3.141,2.0003773661826125,0.15,0.0002910237714803499,True,True,75.4,507.692,7540,0.5637753051012525,0.5871146006940028,0.5845514798504513,0.5845514796778243,0.5770649908839792,0.5738320850896818,0.5694640905517036,0.6370811536618408,0.6271283144189925,0.6271283141686553,0.5770649900321735,0.5694640904661347,0.5738320845653829
0.6,3.141,2.0003773661826125,0.3,0.00010417326542735581,True,True,75.4,507.692,7540,0.3786099864161476,0.3812494719180761,0.3909207245414347,0.39092072410771866,0.37787583468847363,0.39154649038017586,0.38777036035370854,0.43855609282945074,0.4417865092752671,0.44178650916991635,0.377875833721045,0.3877703603106305,0.39154649004640424
1.0,3.141,2.0003773661826125,0.5,7.536341621675259e-06,True,True,75.4,507.692,7540,0.27666476923662364,0.2705694570352497,0.2766554541915648,0.2766554536712382,0.2614060157649768,0.29044447205857593,0.2872978201108081,0.32942905421181545,0.3402279412165758,0.3402279412200771,0.26140601498773924,0.28729782012863486,0.29044447187730665
0.05,3.257,1.9291327317100355,0.025,0.004144951099018981,True,True,78.16,509.084,7816,1.4853622834734144,1.5193136865293868,1.479483029080556,1.479483028492289,1.5295045136411474,1.4768059012446193,1.4840741804021012,1.7195054750505792,1.668114086171758,1.6681140859179973,1.5295045112401477,1.484074179066427,1.4768058987577564
0.15,3.257,1.9291327317100355,0.075,0.0014143112919711351,True,True,78.16,509.084,7816,0.8733094803035393,0.8987761742887315,0.8876137659700717,0.8876137657645868,0.8900565110764769,0.8782145228076307,0.8754601239867192,0.9824701600189872,0.9683448449677586,0.9683448448757508,0.8900565099505061,0.875460123725773,0.8782145218369352
0.3,3.257,1.9291327317100355,0.15,0.0005053191161394101,True,True,78.16,509.084,7816,0.6106263853579601,0.6268497907530743,0.6250980891262687,0.6250980888336094,0.6170043248253895,0.6181967298550244,0.6145495823108813,0.6833111654572415,0.6810528726697859,0.6810528725824848,0.6170043238177061,0.6145495821967184,0.6181967291293359
0.6,3.257,1.9291327317100355,0.3,6.824549316291936e-05,True,True,78.16,509.084,7816,0.41218101193279394,0.4136696682537633,0.42020478553123114,0.42020478490521745,0.40659261558060233,0.4209478893843814,0.4174083490418838,0.4680540734506857,0.47534132504536875,0.4753413249729682,0.4065926144185986,0.41740834895322165,0.420947888704779
1.0,3.257,1.9291327317100355,0.5,2.9616697001677527e-05,True,True,78.16,509.084,7816,0.30574214460686205,0.3004356211941446,0.30242754326431576,0.302427542593432,0.28740351155410127,0.31381056843793315,0.31075437331988,0.3501307906712194,0.3643974518898513,0.36439745185429373,0.2874035106454075,0.3107543733316473,0.3138105678805804
0.05,3.3,1.9039955476301778,0.025,0.005633713711212884,True,True,79.2,509.6,7920,1.4928104860912876,1.5576630992283005,1.5183398561806156,1.5183398557174523,1.5317862994229694,1.48485562536941,1.4939192706338713,1.7129605778427883,1.676334027510267,1.6763340271446725,1.5317862978972197,1.4939192698065424,1.4848556233287502
0.15,3.3,1.9039955476301778,0.075,0.0014071955661967529,True,True,79.2,509.6,7920,0.8927200035110328,0.9233324911049056,0.9113994902975309,0.9113994901881184,0.9069482381608683,0.896502408415225,0.8942245666461707,0.9988101206831772,0.9893753599744448,0.9893753599307398,0.9069482372342297,0.8942245663620012,0.8965024075225649
0.3,3.3,1.9039955476301778,0.15,0.0004691416153277616,True,True,79.2,509.6,7920,0.6279926967716672,0.6458356582459217,0.6429219070278018,0.6429219068364106,0.6325766564169015,0.6336690235552138,0.630227387728559,0.698022422566022,0.6976140399686253,0.6976140399350998,0.6325766555218538,0.6302273875615327,0.6336690228483706
0.6,3.3,1.9039955476301778,0.3,0.00011564809054793485,True,True,79.2,509.6,7920,0.4258596086648183,0.4289142491753431,0.43342412949585096,0.4334241289416253,0.41903586361489964,0.43235163111707103,0.42890137649256777,0.4787636668648412,0.48671847456831197,0.4867184745096785,0.4190358624792115,0.4289013763402083,0.43235163037180196
1.0,3.3,1.9039955476301778,0.5,5.188981466074667e-06,True,True,79.2,509.6,7920,0.3172332096380719,0.3128718229452836,0.31351580595469863,0.31351580531447043,0.2982679449797735,0.32278209845924205,0.3197759489731447,0.35794957235606784,0.37285383745235573,0.37285383739841793,0.29826794404813534,0.31977594893525774,0.3227820977798845
