t,surge,sway,heave,roll,pitch,yaw,heave_vel
1.619000000000000128e+01,1.561664928524329952e-11,-4.900252345134434315e-14,2.276153452994926496e-02,3.305115006794660201e-15,-9.401717945222978242e-11,-7.058525955891532924e-14,-1.951389634079824520e-01
1.619999999999999929e+01,1.604982787820889579e-11,-4.903192023112771468e-14,2.080569811987023621e-02,3.625383014481925070e-15,-9.673340929268907916e-11,-7.062102151500605492e-14,-1.960284294905220159e-01
1.621000000000000085e+01,1.648077557501796881e-11,-4.906213845287815547e-14,1.884136830084389563e-02,3.946000053756306958e-15,-9.943083691474494786e-11,-7.065775387022027609e-14,-1.968376456801128049e-01
1.621999999999999886e+01,1.690932016749708954e-11,-4.909317411024223730e-14,1.686934922305387274e-02,4.266851613227158974e-15,-1.021083667259552740e-10,-7.069545189944515257e-14,-1.975662816803370747e-01
1.623000000000000043e+01,1.733528969447181946e-11,-4.912502334945307589e-14,1.489044817471012194e-02,4.587823194805353982e-15,-1.047649062982090381e-10,-7.073410767225275241e-14,-1.982140401821683995e-01
1.624000000000000199e+01,1.775851251157704482e-11,-4.915768240607743771e-14,1.290547525156853816e-02,4.908800275295816096e-15,-1.073993668145451778e-10,-7.077371080943275563e-14,-1.987806569852855476e-01
1.625000000000000000e+01,1.817881736126548542e-11,-4.919114751744724441e-14,1.091524302530519179e-02,5.229668236381816053e-15,-1.100106635154864901e-10,-7.081424940077712442e-14,-1.992659011058327823e-01
1.626000000000000156e+01,1.859603344293820265e-11,-4.922541481846260873e-14,8.920566210880968502e-03,5.550312272614090627e-15,-1.125977161447723792e-10,-7.085571100333354592e-14,-1.996695748705825391e-01
1.626999999999999957e+01,1.900999048311290923e-11,-4.926048022961744670e-14,6.922261333032732333e-03,5.870617288556126215e-15,-1.151594493943848573e-10,-7.089808363308104994e-14,-1.999915139974621225e-01
1.628000000000000114e+01,1.942051880554369484e-11,-4.929633934652232246e-14,4.921146392027593054e-03,6.190467796848145096e-15,-1.176947933487648633e-10,-7.094135666434901275e-14,-2.002315876624115865e-01
1.628999999999999915e+01,1.982744940120959206e-11,-4.933298733985767516e-14,2.918040528817061972e-03,6.509747828599422545e-15,-1.202026839281102314e-10,-7.098552156013795670e-14,-2.003896985525457086e-01
1.630000000000000071e+01,2.023061399809881245e-11,-4.937041887362426433e-14,9.137636897281743676e-04,6.828340866245714593e-15,-1.226820633306337764e-10,-7.103057237199322824e-14,-2.004657829055982166e-01
1.630999999999999872e+01,2.062984513072937059e-11,-4.940862804786636506e-14,-1.090863709171154385e-03,7.146129806936562071e-15,-1.251318804736404503e-10,-7.107650596883042345e-14,-2.004598105356326099e-01
1.632000000000000028e+01,2.102497620936390644e-11,-4.944760836987961346e-14,-3.095021117895167036e-03,7.462996961832164691e-15,-1.275510914332588304e-10,-7.112332197826050711e-14,-2.003717848450088101e-01
1.633000000000000185e+01,2.141584158889507026e-11,-4.948735275546893055e-14,-5.097888188414222664e-03,7.778824093626224476e-15,-1.299386598826369211e-10,-7.117102244936695975e-14,-2.002017428226012252e-01
1.633999999999999986e+01,2.180227663739617061e-11,-4.952785355930298745e-14,-7.098645110442197703e-03,8.093492491432439706e-15,-1.322935575283876929e-10,-7.121961127030229209e-14,-1.999497550282690050e-01
1.635000000000000142e+01,2.218411780434784238e-11,-4.956910263103453379e-14,-9.096472946999882569e-03,8.406883079146083397e-15,-1.346147645450467520e-10,-7.126909339535088412e-14,-1.996159255635849006e-01
1.635999999999999943e+01,2.256120268856412178e-11,-4.961109139181719813e-14,-1.109055396961702335e-02,8.718876550768494113e-15,-1.369012700072894354e-10,-7.131947395239387190e-14,-1.992003920288349939e-01
1.637000000000000099e+01,2.293337010584889284e-11,-4.965381092431528092e-14,-1.308007199303579809e-02,9.029353524172279056e-15,-1.391520723196438235e-10,-7.137075731160437330e-14,-1.987033254663070903e-01
1.637999999999999901e+01,2.330046015641568911e-11,-4.969725206839143365e-14,-1.506421270927874555e-02,9.338194703543386018e-15,-1.413661796434343528e-10,-7.142294619886865335e-14,-1.981249302898908937e-01
1.639000000000000057e+01,2.366231429209993768e-11,-4.974140551443231817e-14,-1.704216402094439059e-02,9.645281040348666487e-15,-1.435426103206978173e-10,-7.147604093268503636e-14,-1.974654442010191913e-01
1.639999999999999858e+01,2.401877538338321674e-11,-4.978626188673608268e-14,-1.901311637359416259e-02,9.950493883155161790e-15,-1.456803932948272249e-10,-7.153003885161124843e-14,-1.967251380909845748e-01
1.641000000000000014e+01,2.436968778623496142e-11,-4.983181181048190678e-14,-2.097626308709456960e-02,1.025371510790678026e-14,-1.477785685277200663e-10,-7.158493398179744905e-14,-1.959043159296717518e-01
1.642000000000000171e+01,2.471489740875915864e-11,-4.987804595742093241e-14,-2.293080068577899380e-02,1.055482722221415909e-14,-1.498361874132335836e-10,-7.164071697235579113e-14,-1.950033146407510465e-01
1.642999999999999972e+01,2.505425177761410037e-11,-4.992495506741611086e-14,-2.487592922729396638e-02,1.085371343964900382e-14,-1.518523131867777007e-10,-7.169737530224329555e-14,-1.940225039633846904e-01
1.644000000000000128e+01,2.538760010415341587e-11,-4.997252994513489395e-14,-2.681085262999539573e-02,1.115025772273185320e-14,-1.538260213309057433e-10,-7.175489373813208115e-14,-1.929622863005022726e-01
1.644999999999999929e+01,2.571479335021866047e-11,-5.002076143336907469e-14,-2.873477899876067387e-02,1.144434479602191806e-14,-1.557563999767887722e-10,-7.181325500056257757e-14,-1.918230965537078003e-01
1.646000000000000085e+01,2.603568429349886571e-11,-5.006964036643207832e-14,-3.064692094908335468e-02,1.173586013322351259e-14,-1.576425503014816355e-10,-7.187244057748436667e-14,-1.906054019448861492e-01
1.646999999999999886e+01,2.635012759236268417e-11,-5.011915750869806450e-14,-3.254649592931778412e-02,1.202468992430463427e-14,-1.594835869209043283e-10,-7.193243161167649839e-14,-1.893097018245818164e-01
1.648000000000000043e+01,2.665797985006422301e-11,-5.016930348446851356e-14,-3.443272654094171881e-02,1.231072103011126529e-14,-1.612786382784695648e-10,-7.199320978259078710e-14,-1.879365274672289698e-01
1.649000000000000199e+01,2.695909967822556931e-11,-5.022006870589606929e-14,-3.630484085670600269e-02,1.259384093274480620e-14,-1.630268470292872089e-10,-7.205475810435877022e-14,-1.864864418533163648e-01
1.650000000000000000e+01,2.725334775950666551e-11,-5.027144330563110890e-14,-3.816207273654093762e-02,1.287393769000351115e-14,-1.647273704198665940e-10,-7.211706156988723407e-14,-1.849600394385766122e-01
1.651000000000000156e+01,2.754058690938640828e-11,-5.032341708020771389e-14,-4.000366214109019741e-02,1.315089990149383118e-14,-1.663793806632226382e-10,-7.218010758535474779e-14,-1.833579459102945564e-01
1.651999999999999957e+01,2.782068213699611511e-11,-5.037597944902800848e-14,-4.182885544274386053e-02,1.342461669268016421e-14,-1.679820653092680913e-10,-7.224388615867835908e-14,-1.816808179308343763e-01
1.653000000000000114e+01,2.809350070496659091e-11,-5.042911943225575269e-14,-4.363690573404342687e-02,1.369497772130259034e-14,-1.695346276103502565e-10,-7.230838982788396382e-14,-1.799293428684907992e-01
1.653999999999999915e+01,2.835891218827116540e-11,-5.048282564914338929e-14,-4.542707313333241292e-02,1.396187320843359521e-14,-1.710362868817622801e-10,-7.237361333875717926e-14,-1.781042385157744767e-01
1.655000000000000071e+01,2.861678853206718280e-11,-5.053708633645939901e-14,-4.719862508752763891e-02,1.422519399417164043e-14,-1.724862788570340783e-10,-7.243955310355941625e-14,-1.762062527952473479e-01
1.655999999999999872e+01,2.886700410855610627e-11,-5.059188938492519892e-14,-4.895083667188715459e-02,1.448483161579114588e-14,-1.738838560377860509e-10,-7.250620649196046914e-14,-1.742361634530281145e-01
1.657000000000000028e+01,2.910943577289583184e-11,-5.064722239006996308e-14,-5.068299088665223495e-02,1.474067840427903382e-14,-1.752282880379125236e-10,-7.257357101994237318e-14,-1.721947777400937851e-01
1.658000000000000185e+01,2.934396291820702941e-11,-5.070307271279607493e-14,-5.239437895044204985e-02,1.499262759374933880e-14,-1.765188619218530718e-10,-7.264164351098930350e-14,-1.700829320815076262e-01
1.658999999999999986e+01,2.957046752971748727e-11,-5.075942754430700560e-14,-5.408430059028086767e-02,1.524057343735437276e-14,-1.777548825367099050e-10,-7.271041930566336222e-14,-1.679014917337092738e-01
1.660000000000000142e+01,2.978883423808452026e-11,-5.081627396992709521e-14,-5.575206432813920032e-02,1.548441132306254900e-14,-1.789356728379775303e-10,-7.277989159056535050e-14,-1.656513504300071715e-01
1.660999999999999943e+01,2.999895037192602775e-11,-5.087359902673190621e-14,-5.739698776387161527e-02,1.572403788304807353e-14,-1.800605742086670676e-10,-7.285005090619873054e-14,-1.633334300144188567e-01
1.662000000000000099e+01,3.020070600957614411e-11,-5.093138975075504196e-14,-5.901839785443543929e-02,1.595935109137605493e-14,-1.811289467716308054e-10,-7.292088487647846030e-14,-1.609486800640088366e-01
1.662999999999999901e+01,3.039399403006374013e-11,-5.098963321074626283e-14,-6.061563118927612570e-02,1.619025034605698830e-14,-1.821401696949199042e-10,-7.299237818210836426e-14,-1.584980774998790698e-01
1.664000000000000057e+01,3.057871016329238486e-11,-5.104831652689879157e-14,-6.218803426176650745e-02,1.641663653323558784e-14,-1.830936414900388421e-10,-7.306451277767740888e-14,-1.559826261869710906e-01
1.664999999999999858e+01,3.075475303938050599e-11,-5.110742687449380654e-14,-6.373496373658905922e-02,1.663841207309474485e-14,-1.839887803029906195e-10,-7.313726833014133470e-14,-1.534033565228439810e-01
1.666000000000000014e+01,3.092202423710299932e-11,-5.116695147387566676e-14,-6.525578671295156896e-02,1.685548094881334310e-14,-1.848250241980337787e-10,-7.321062283637772062e-14,-1.507613250155964701e-01
