t,surge,sway,heave,roll,pitch,yaw,heave_vel
6.049999999999999822e+00,-3.856285260338154595e-11,-1.096591998258871383e-14,1.820468441231705772e-02,-2.841447905468816522e-15,1.028622411531482660e-10,-2.857639116514773026e-14,2.110700599086342069e-02
6.060000000000000497e+00,-3.880125299950078741e-11,-1.095113501608562250e-14,1.841184590377182434e-02,-2.852823174977176183e-15,1.039786699464208562e-10,-2.860409475234085526e-14,2.032530086992771767e-02
6.070000000000000284e+00,-3.903539620169812433e-11,-1.093636689430513071e-14,1.861116011663455083e-02,-2.863185969967067644e-15,1.050656250555507681e-10,-2.863165837036096677e-14,1.953754991758908238e-02
6.080000000000000071e+00,-3.926523377309027549e-11,-1.092161393463256878e-14,1.880256787280742622e-02,-2.872540594930155659e-15,1.061228153165487281e-10,-2.865913665703590437e-14,1.874400917751745804e-02
6.089999999999999858e+00,-3.949071847902502805e-11,-1.090687517399764762e-14,1.898601255306916688e-02,-2.880890113515245978e-15,1.071499582618388026e-10,-2.868658334614315195e-14,1.794493438135852728e-02
6.100000000000000533e+00,-3.971180431104277286e-11,-1.089215059894406628e-14,1.916144009391863162e-02,-2.888236077025840645e-15,1.081467801759051128e-10,-2.871404871974011912e-14,1.714058094150448797e-02
6.110000000000000320e+00,-3.992844651104591420e-11,-1.087744129420351009e-14,1.932879898435628171e-02,-2.894578365094446066e-15,1.091130161480470230e-10,-2.874157731040048339e-14,1.633120394589088545e-02
6.120000000000000107e+00,-4.014060159524300844e-11,-1.086274950137183951e-14,1.948804026262324421e-02,-2.899915146580038775e-15,1.100484101228035540e-10,-2.876920604237376871e-14,1.551705815471753416e-02
6.129999999999999893e+00,-4.034822737744795391e-11,-1.084807858523265442e-14,1.963911751291668589e-02,-2.904242960923283882e-15,1.109527149485890824e-10,-2.879696296637930860e-14,1.469839799899297708e-02
6.140000000000000568e+00,-4.055128299135036839e-11,-1.083343291169330736e-14,1.978198686209924756e-02,-2.907556911979049689e-15,1.118256924250326159e-10,-2.882486669409381254e-14,1.387547758080320305e-02
6.150000000000000355e+00,-4.074972891142920304e-11,-1.081881764772607036e-14,1.991660697641931335e-02,-2.909850958313032753e-15,1.126671133494371549e-10,-2.885292657950044739e-14,1.304855067520666045e-02
6.160000000000000142e+00,-4.094352697225233945e-11,-1.080423849964233292e-14,2.004293905825786301e-02,-2.911118276717332219e-15,1.134767575626783679e-10,-2.888114363023555692e-14,1.221787073365893268e-02
6.169999999999999929e+00,-4.113264038598602576e-11,-1.078970141097493182e-14,2.016094684291675626e-02,-2.911351669869645430e-15,1.142544139947513661e-10,-2.890951206854000256e-14,1.138369088887168645e-02
6.179999999999999716e+00,-4.131703375802291628e-11,-1.077521224475602485e-14,2.027059659546228548e-02,-2.910543985163432880e-15,1.149998807100591262e-10,-2.893802140407883110e-14,1.054626396101177033e-02
6.190000000000000391e+00,-4.149667310072037829e-11,-1.076077647669840130e-14,2.037185710763697935e-02,-2.908688510182961900e-15,1.157129649524231490e-10,-2.896665883494801232e-14,9.705842465147542994e-03
6.200000000000000178e+00,-4.167152584531642934e-11,-1.074639892548631130e-14,2.046469969485162702e-02,-2.905779311335870252e-15,1.163934831896949637e-10,-2.899541176290691025e-14,8.862678619850716463e-03
6.209999999999999964e+00,-4.184156085215387065e-11,-1.073208354398072071e-14,2.054909819326865630e-02,-2.901811485840959095e-15,1.170412611577623048e-10,-2.902427019718345117e-14,8.017024356863083553e-03
6.219999999999999751e+00,-4.200674841939086727e-11,-1.071783329073522887e-14,2.062502895698705221e-02,-2.896781303444085726e-15,1.176561339036804675e-10,-2.905322882940213886e-14,7.169131331738633553e-03
6.230000000000000426e+00,-4.216706029040618561e-11,-1.070365009506459930e-14,2.069247085533812772e-02,-2.890686222534406100e-15,1.182379458276205626e-10,-2.908228858982943619e-14,6.319250935372564340e-03
6.240000000000000213e+00,-4.232246966011890498e-11,-1.068953492142682206e-14,2.075140527030058454e-02,-2.883524775200000194e-15,1.187865507233127028e-10,-2.911145754002865259e-14,5.467634306329672428e-03
6.250000000000000000e+00,-4.247295118043715970e-11,-1.067548793061994195e-14,2.080181609404241003e-02,-2.875296326484459393e-15,1.193018118166726362e-10,-2.914075101541511189e-14,4.614532343885545222e-03
6.259999999999999787e+00,-4.261848096503060290e-11,-1.066150872689461926e-14,2.084368972659635111e-02,-2.866000723868568650e-15,1.197836018023290083e-10,-2.917019099810217166e-14,3.760195721694802908e-03
6.270000000000000462e+00,-4.275903659359010876e-11,-1.064759667222074709e-14,2.087701507367473869e-02,-2.855637862946004585e-15,1.202318028778146136e-10,-2.919980477001348639e-14,2.904874902001460934e-03
6.280000000000000249e+00,-4.289459711570093589e-11,-1.063375124228583911e-14,2.090178354462873811e-02,-2.844207203557594492e-15,1.206463067752376170e-10,-2.922962296237732120e-14,2.048820150307180572e-03
6.290000000000000036e+00,-4.302514305441577922e-11,-1.061997239393853169e-14,2.091798905055614055e-02,-2.831707276559231024e-15,1.210270147903050975e-10,-2.925967717451408881e-14,1.192281550413848944e-03
6.299999999999999822e+00,-4.315065640957717970e-11,-1.060626091119493291e-14,2.092562800256103292e-02,-2.818135224347663847e-15,1.213738378086245749e-10,-2.928999737712685296e-14,3.355090197575071563e-04
6.310000000000000497e+00,-4.327112066090828466e-11,-1.059261869690552821e-14,2.092469931016785120e-02,-2.803486417892826283e-15,1.216866963292507135e-10,-2.932060933916857443e-14,-5.212476750488368891e-04
6.320000000000000284e+00,-4.338652076828243761e-11,-1.057904967847171123e-14,2.091520447412075975e-02,-2.787755382153686716e-15,1.219655205379320365e-10,-2.935153232405207976e-14,-1.377720103809760297e-03
6.330000000000000071e+00,-4.349684315876777853e-11,-1.056556111257961327e-14,2.089714814657529438e-02,-2.770937744090095123e-15,1.222102506376570546e-10,-2.938277729330050593e-14,-2.233546563278178756e-03
6.339999999999999858e+00,-4.360207570447746028e-11,-1.055216348257419359e-14,2.087053900252209757e-02,-2.753030172171561763e-15,1.224208373493333014e-10,-2.941434579647363829e-14,-3.088284039218671447e-03
6.350000000000000533e+00,-4.370220771164837649e-11,-1.053886931562580270e-14,2.083539018556375758e-02,-2.734028877265695078e-15,1.225972421720922570e-10,-2.944622964805982392e-14,-3.941481760931809901e-03
