t,surge,sway,heave,roll,pitch,yaw,heave_vel
3.709999999999999964e+00,-3.601379849984337424e-18,-4.144425571847470571e-18,3.636948760020054794e-03,-2.666223325741438203e-18,-4.917123989858387684e-18,4.525372747462538657e-13,-2.104397440101925532e-01
3.720000000000000195e+00,-3.639531981768622086e-18,-4.236537938577201909e-18,1.531983026557230806e-03,-2.648901194205107303e-18,-4.831742477650510835e-18,4.623329413570910829e-13,-2.105535321559924844e-01
3.729999999999999982e+00,-3.677411262148832026e-18,-4.328486125179721385e-18,-5.736531010408076970e-04,-2.630269580244537929e-18,-4.743434156601553146e-18,4.721346752986495629e-13,-2.105738228810123125e-01
3.740000000000000213e+00,-3.715001465212931894e-18,-4.420228979209558788e-18,-2.679024605573455866e-03,-2.610329807545712846e-18,-4.652237028049015895e-18,4.819381228988722781e-13,-2.105006075291704914e-01
3.750000000000000000e+00,-3.752286555762107676e-18,-4.511725559112561148e-18,-4.783196590917706235e-03,-2.589083774631970487e-18,-4.558190852263829018e-18,4.917389297587432739e-13,-2.103339189720737079e-01
3.760000000000000231e+00,-3.789250693024134491e-18,-4.602935150600233094e-18,-6.885234697232020008e-03,-2.566533960035965403e-18,-4.461337129184478081e-18,5.015327426855518913e-13,-2.100738315944412071e-01
3.770000000000000018e+00,-3.825878234152648792e-18,-4.693817282725258394e-18,-8.984205515922182028e-03,-2.542683427367044169e-18,-4.361719077988696179e-18,5.113152116256223815e-13,-2.097204612610751584e-01
3.780000000000000249e+00,-3.862153737553002883e-18,-4.784331743674339661e-18,-1.107917700418465691e-02,-2.517535830245740985e-18,-4.259381615550300462e-18,5.210819915956500765e-13,-2.092739652653918259e-01
3.790000000000000036e+00,-3.898061966082775301e-18,-4.874438596298416720e-18,-1.316921889894316459e-02,-2.491095417073533846e-18,-4.154371333836380476e-18,5.308287446117870471e-13,-2.087345422595354438e-01
3.800000000000000266e+00,-3.933587890178471864e-18,-4.964098193402283151e-18,-1.525340312999448264e-02,-2.463367035604298503e-18,-4.046736476303898094e-18,5.405511416156196735e-13,-2.081024321661059939e-01
3.810000000000000053e+00,-3.968716690959080110e-18,-5.053271192815449565e-18,-1.733080423217977367e-02,-2.434356137284245214e-18,-3.936526913354561641e-18,5.502448643961833836e-13,-2.073779160715392700e-01
3.820000000000000284e+00,-4.003433763351946819e-18,-5.141918572263737830e-18,-1.940049975639821303e-02,-2.404068781329519198e-18,-3.823794116902568913e-18,5.599056075071614263e-13,-2.065613161011869425e-01
3.830000000000000071e+00,-4.037724719277378663e-18,-5.230001644056895836e-18,-2.146157067928019732e-02,-2.372511638514855736e-18,-3.708591134101849729e-18,5.695290801784148526e-13,-2.056529952761514679e-01
3.839999999999999858e+00,-4.071575390916217331e-18,-5.317482069601699124e-18,-2.351310181133800178e-02,-2.339691994652367405e-18,-3.590972560268622581e-18,5.791110082209972379e-13,-2.046533573519395133e-01
3.850000000000000089e+00,-4.104971834070457851e-18,-5.404321873743290382e-18,-2.555418220341240665e-02,-2.305617753746181113e-18,-3.470994511022283356e-18,5.886471359248044473e-13,-2.035628466390055624e-01
3.859999999999999876e+00,-4.137900331612076056e-18,-5.490483458930310982e-18,-2.758390555123461235e-02,-2.270297440815652263e-18,-3.348714593654174485e-18,5.981332279480211561e-13,-2.023819478052653886e-01
3.870000000000000107e+00,-4.170347397000866739e-18,-5.575929619192591778e-18,-2.960137059792359790e-02,-2.233740204386627161e-18,-3.224191877720820620e-18,6.075650711975210925e-13,-2.011111856606671855e-01
3.879999999999999893e+00,-4.202299777839657175e-18,-5.660623553914206137e-18,-3.160568153423994053e-02,-2.195955818656125103e-18,-3.097486864847028830e-18,6.169384766993889741e-13,-1.997511249239161124e-01
3.890000000000000124e+00,-4.233744459425783565e-18,-5.744528881380274741e-18,-3.359594839641816960e-02,-2.156954685340293970e-18,-2.968661457715840374e-18,6.262492814587309005e-13,-1.983023699714562549e-01
3.899999999999999911e+00,-4.264668668252108125e-18,-5.827609652073371755e-18,-3.557128746140078568e-02,-2.116747835218226033e-18,-2.837778928217559441e-18,6.354933503079492512e-13,-1.967655645688215771e-01
3.910000000000000142e+00,-4.295059875409620370e-18,-5.909830361695002964e-18,-3.753082163929823828e-02,-2.075346929384887478e-18,-2.704903884729395545e-18,6.446665777426606644e-13,-1.951413915844756597e-01
3.919999999999999929e+00,-4.324905799846894056e-18,-5.991155963889440673e-18,-3.947368086290039407e-02,-2.032764260225054242e-18,-2.570102238500794192e-18,6.537648897444408219e-13,-1.934305726862676766e-01
3.930000000000000160e+00,-4.354194411449121449e-18,-6.071551882651096738e-18,-4.139900247406630429e-02,-1.989012752116780652e-18,-2.433441169127014199e-18,6.627842455895885477e-13,-1.916338680206397527e-01
3.939999999999999947e+00,-4.382913933910429074e-18,-6.150984024402240331e-18,-4.330593160682050247e-02,-1.944105961867989255e-18,-2.294989089104317238e-18,6.717206396431037515e-13,-1.897520758747289205e-01
3.950000000000000178e+00,-4.411052847386702917e-18,-6.229418789734726435e-18,-4.519362156698562144e-02,-1.898058078883610337e-18,-2.154815607473372062e-18,6.805701031370838405e-13,-1.877860323215141680e-01
3.959999999999999964e+00,-4.438599890931093244e-18,-6.306823084816921453e-18,-4.706123420818240227e-02,-1.850883925053949244e-18,-2.012991492571970840e-18,6.893287059327496914e-13,-1.857366108481668110e-01
3.970000000000000195e+00,-4.465544064729276628e-18,-6.383164332474541146e-18,-4.890794030403011056e-02,-1.802598954348228885e-18,-1.869588633932712702e-18,6.979925582653158025e-13,-1.836047219677700570e-01
3.979999999999999982e+00,-4.491874632165223043e-18,-6.458410482960945458e-18,-5.073291991638187448e-02,-1.753219252091117227e-18,-1.724680003374631490e-18,7.065578124709325782e-13,-1.813913128145807629e-01
3.990000000000000213e+00,-4.517581121759377033e-18,-6.532530024438045422e-18,-5.253536275943120754e-02,-1.702761533895155439e-18,-1.578339615348740980e-18,7.150206646949328385e-13,-1.790973667230139899e-01
4.000000000000000000e+00,-4.542653329028844886e-18,-6.605491993192843825e-18,-5.431446855952797720e-02,-1.651243144218708218e-18,-1.430642486605192070e-18,7.233773565806231235e-13,-1.767239027905383453e-01
4.009999999999999787e+00,-4.567081318322742696e-18,-6.677265983616401632e-18,-5.606944741054381565e-02,-1.598682054517758597e-18,-1.281664595253558086e-18,7.316241769378711736e-13,-1.742719754246768449e-01
4.020000000000000462e+00,-4.590855424684989704e-18,-6.747822157971647752e-18,-5.779952012462909183e-02,-1.545096860960635104e-18,-1.131482839287428646e-18,7.397574633907477257e-13,-1.717426738743155490e-01
4.030000000000000249e+00,-4.613966255791655926e-18,-6.817131255973873645e-18,-5.950391857820559738e-02,-1.490506781677585814e-18,-9.801749946400707762e-19,7.477736040034908656e-13,-1.691371217455291398e-01
4.040000000000000036e+00,-4.636404694000949719e-18,-6.885164604203323026e-18,-6.118188605304109712e-02,-1.434931653521728188e-18,-8.278196728298851567e-19,7.556690388840715790e-13,-1.664564765021392667e-01
4.049999999999999822e+00,-4.658161898541946255e-18,-6.951894125363328938e-18,-6.283267757225426131e-02,-1.378391928323942512e-18,-6.744962782435231008e-19,7.634402617646472159e-13,-1.637019289512288422e-01
4.060000000000000497e+00,-4.679229307854252675e-18,-7.017292347390614887e-18,-6.445556023110068922e-02,-1.320908668631214373e-18,-5.202849650918575669e-19,7.710838215582020100e-13,-1.608747027138414387e-01
4.070000000000000284e+00,-4.699598642076272597e-18,-7.081332412417149162e-18,-6.604981352239300274e-02,-1.262503542925169982e-18,-3.652665940607083320e-19,7.785963238906833815e-13,-1.579760536811023186e-01
4.080000000000000071e+00,-4.719261905665869836e-18,-7.143988085576142109e-18,-6.761472965641050770e-02,-1.203198820324486545e-18,-2.095226886655278998e-19,7.859744326079518423e-13,-1.550072694560035158e-01
4.089999999999999858e+00,-4.738211390125246502e-18,-7.205233763638812716e-18,-6.914961387515625169e-02,-1.143017364780921725e-18,-5.313539130832950291e-20,7.932148712568782760e-13,-1.519696687811021851e-01
